"Prizn","DD20","d20","Ks","Kp","Bt","Bt1","P_max","G_max","N_co2","Nn2","Hv","Hn"
"NEFT_IN8",29.447001,50,1.0041999816894531,1.0010999441146851,0.0000165,0.0000165,2500,0,0,0,1000,0
"NEFT_IN9",29.447001,50,1.00419998168945,1.0010999441146899,0.0000165,0.0000165,2500,0,0,0,1000,0
